No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
7,Regulated Market,General Standard,General Standard,PIERER Mobility AG,AT0000KTMI02,PMAG,Austria,LI,Consumer Goods,Automobile,Automobile Manufacturers,yes,3/3/2020,,,,,44.6,,,,,,,,"22,538,674",,
8,Regulated Market,General Standard,General Standard,iQ International AG,CH0451424300,IQL,Switzerland,LI,Consumer Goods,Automobile,Auto Parts & Equipment,yes,27/12/2019,,,,,0.8,,,,,,,,"26,772,924","22,218,339.20",
13,Regulated Market,Prime Standard,Scale (Open Market),STEMMER IMAGING AG,DE000A2G9MZ9,S9I,Germany,TR,Information Technology,Software,IT-Services,no,10/5/2019,,,,,26.4,,,,,,,,"6,500,000","171,600,000.00",
14,Regulated Market,Prime Standard,Prime Standard,Gateway Real Estate AG,DE000A0JJTG7,GTY,Germany,LI,FIRE,Financial Services,Real Estate,yes,12/4/2019,,,,,4.2,,,,,,,,"186,764,040","784,408,968.00",
15,Regulated Market,General Standard,General Standard,Tuff Group AG,DE000A161N22,TUF,Germany,LI,Industrials,Construction,Construction & Engineering,yes,26/03/2019,,,,,4.5,,,,,,,,"40,000,000","180,000,000.00",
16,Regulated Market,General Standard,Open Market / Entry Standard ,ERWE Immobilien AG,DE000A1X3WX6,ERWE,Germany,TR,,Financial Services,Private Equity & Venture Capital,yes,15/01/2019,,,,,2.98,,,,,,,,"16,562,922","49,357,507.56",
17,Regulated Market,Prime Standard,"Regulierter Markt, Berlin",Deutsche Industrie REIT-AG,DE000A2G9LL1,JB7,Germany,LI,FIRE,Financial Services,Real Estate,yes,19/12/2018,,,,,11.45,,,,,,,,"22,500,072","257,625,824.40",
18,Regulated Market,Prime Standard,Prime Standard,DFV Deutsche Familienversicherung AG,DE000A2NBVD5,DFV,Germany,NI,FIRE,Insurance,Insurance,yes,4/12/2018,Sole Global Coordinator & Joint Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers Aktiengesellschaft  <br><br>  Joint Bookrunner:<br>  MainFirst Bank Aktiengesellschaft  (Lead Manager: Hauck & Aufhäuser Privatbankiers Aktiengesellschaft ),Fixed Price Procedure,,12,12.3,"52,440,000.00",,"3,800,000","4,370,000",,"570,000",,"12,753,875","156,872,662.50","21,115,060.31"
19,Open Market,Scale,Scale,FCR Immobilien AG,DE000A1YC913,FC9,Germany,LI,FIRE,Financial Services,Real Estate,yes,7/11/2018, (Lead Manager: BankM - Repräsentanz der FinTech Group Bank AG),,,,18,,,,,,,,"4,219,588","75,952,584.00",
20,Regulated Market,Prime Standard,Prime Standard,Linde plc,IE00BZ12WP82,LIN,Ireland,LI,Basic Materials,Chemicals,Industrial Gases,yes,29/10/2018,Listing agent: Credit Suisse (Lead Manager: Credit Suisse),,,,147,,,,,,,,"551,054,569","81,005,021,643.00",
21,Regulated Market,Prime Standard,Freiverkehr / Regulated Unofficial Market Berlin,"Haier Smart Home Co., Ltd.",CNE1000031C1,690D,China,NI,Consumer Goods,Consumer,Household Appliances & Housewares,yes,24/10/2018,"Sole Global Coordinator & Joint Bookrunner:<br>  Deutsche Bank  <br><br>  Joint Bookrunners:<br>  UBS Investment Bank, J.P. Morgan, China International Capital Corporation Hong Kong Sec. Ltd  <br><br>  Co-Lead Managers:<br>  Baader Bank, Banca IMI, BOCI, Hauk & Aufhäuser, ICBC International, ING, Shenwan Hongyuan Sec. (H.K.) Limited (Lead Manager: Deutsche Bank)",Bookbuilding Procedure,1.00 - 1.50,1.05,1.06,"284,564,671.65","6,314,671.65","271,013,973","271,013,973",,"39,750,000","6,013,973","271,013,973","287,274,811.38","287,274,811.38"
22,Regulated Market,Prime Standard,Prime Standard,Knorr-Bremse AG,DE000KBX1006,KBX,Germany,NI,Industrials,Industrial,Industrial Machinery,yes,12/10/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank Aktiengesellschaft, J.P. Morgan Securities plc, Morgan Stanley & Co. International plc  <br><br>  Joint Bookrunners:<br>  Joh. Berenberg, Gossler & Co. KG, COMMERZBANK, UBS Limited, UniCredit Bank AG     (Lead Manager: Deutsche Bank Aktiengesellschaft, J.P. Morgan Securities plc, Morgan Stanley & Co. International plc)",Bookbuilding Procedure,72.00 - 87.00,80,80.1,"3,848,171,920.00","399,893,600.00","48,102,149",,"48,102,149","5,256,521","4,998,670","161,200,000","12,912,120,000.00","3,873,636,000.00"
23,Regulated Market,Prime Standard,Prime Standard,Westwing Group AG,DE000A2N4H07,WEW,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,9/10/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, Citigroup (Lead Manager: Berenberg, Citigroup)",Bookbuilding Procedure,23.00 - 29.00,26,26.49,"122,495,334.00","8,095,334.00","4,711,359","4,400,000","311,359","660,000","311,359","20,253,459","526,589,934.00","116,165,739.44"
24,Regulated Market,General Standard,Scale (Open Market / Freiverkehr),Ringmetall Aktiengesellschaft,DE0006001902,HP3,Germany,TR,Industrials,Industrial,Containers & Packaging,yes,31/07/2018,,,,,4.12,,,,,,,,"27,684,800","114,061,376.00",
25,Open Market,Scale,Scale,CONSUS Real Estate AG,DE000A2DA414,CC1,Germany,LI,FIRE,Financial Services,Real Estate,yes,27/07/2018,,,,,7.4,,,,,,,,"79,850,383","590,892,834.20",
26,Regulated Market,Prime Standard,Prime Standard,creditshelf Aktiengesellschaft,DE000A2LQUA5,CSQ,Germany,NI,FIRE,Financial Services,Diversified Financial,yes,25/07/2018,Sole Global Coordinator & Sole Bookrunner:<br>  COMMERZBANK Aktiengesellschaft (Lead Manager: COMMERZBANK Aktiengesellschaft),Fixed Price Procedure,,80,80,"16,500,000.00",,"206,250","206,250",,,,"1,331,250","106,500,000.00","16,496,850.00"
27,Regulated Market,Prime Standard,Prime Standard,AKASOL AG,DE000A2JNWZ9,ASL,Germany,NI,Consumer Goods,Automobile,Auto Parts & Equipment,yes,29/06/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Citigroup, COMMERZBANK  <br><br>  Joint Bookrunner:<br>  Bankhaus Lampe KG (Lead Manager: Citigroup, COMMERZBANK)",Bookbuilding Procedure,48.50 - 64.50,48.5,48.8,"118,002,488.50","10,727,472.50","2,433,041","2,061,856","371,185","221,185","221,185","6,061,856","295,818,572.80","117,982,206.42"
28,Regulated Market,Prime Standard,Prime Standard,capsensixx AG,DE000A2G9M17,CPX,Germany,NI,FIRE,Financial Services,Diversified Financial,yes,21/06/2018,Sole Global Coordinator & Sole Bookrunner:<br>  ICF BANK AG (Lead Manager: ICF BANK AG),Bookbuilding Procedure,16.00 - 19.00,16,16,"12,272,000.00","480,000.00","767,000","330,000","437,000","110,550","30,000","3,430,000","54,880,000.00","13,560,848.00"
29,Regulated Market,Prime Standard,Prime Standard,home24 SE,DE000A14KEB5,H24,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,15/06/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Berenberg, Citigroup, Goldman Sachs International (Lead Manager: Berenberg, Citigroup, Goldman Sachs International)",Bookbuilding Procedure,19.50 - 24.50,23,28.5,"172,500,023.00","22,500,003.00","7,500,001","7,500,001",,"978,261","978,261","25,976,757","740,337,574.50","199,520,976.33"
30,Regulated Market,General Standard,Prime Standard,STS Group AG,DE000A1TNU68,SF3,Germany,NI,Consumer Goods,Automobile,Auto Parts & Equipment,yes,1/6/2018,Sole Global Coordinator and Joint Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers Aktiengesellschaft  <br><br>  Joint Bookrunner:<br>  MainFirst Bank Aktiengesellschaft (Lead Manager: Hauck & Aufhäuser Privatbankiers Aktiengesellschaft),Bookbuilding Procedure,26.00 - 32.00,24,24,"52,132,128.00","4,132,128.00","2,172,172","1,000,000","1,172,172","300,000","172,172","6,000,000","144,000,000.00","52,128,000.00"
31,Regulated Market,Prime Standard,Prime Standard,NFON AG,DE000A0N4N52,NFN,Germany,NI,Telecommunication,Telecommunication,Wireless Telecommunication,yes,11/5/2018,"Sole Global Coordinator & Joint Bookrunner:<br>  Berenberg  <br><br>  Joint Bookrunner:<br>  Baader Bank, ODDO BHF (Lead Manager: Berenberg)",Bookbuilding Procedure,11.93 - 14.00,12,13,"73,208,772.00","3,208,788.00","6,100,731","4,166,666","1,934,065","874,999","267,399","13,806,816","179,488,608.00","63,718,455.84"
32,Regulated Market,Prime Standard,Prime Standard,Serviceware SE,DE000A2G8X31,SJJ,Germany,NI,Information Technology,Software,Software,yes,20/04/2018,"Joint Global Coordinators and Joint Bookrunners:<br>  COMMERZBANK, Hauck & Aufhäuser (Lead Manager: COMMERZBANK, Hauck & Aufhäuser)",Bookbuilding Procedure,22.50 - 27.50,24,24.005,"88,872,000.00","11,599,200.00","3,703,000","2,500,000","1,203,000","483,000","483,000","10,500,000","252,052,500.00","88,873,711.50"
33,Regulated Market,Delisted,Prime Standard,Godewind Immobilien AG,DE000A2G8XX3,GWD,Germany,NI,FIRE,Financial Services,Real Estate,yes,5/4/2018,"Joint Global Coordinators & Joint Bookrunners:<br>  Citi, J.P. Morgan  <br><br>  Joint Bookrunners:<br>  Berenberg, Société Générale (Lead Manager: Citi,  J.P. Morgan)",Fixed Price Procedure,,4,3.6,"375,000,000.00",,"93,750,000","93,750,000",,"18,750,000",,"108,750,000","391,500,000.00","337,512,150.00"
34,Open Market,Scale,Scale,cyan AG,DE000A2E4SV8,CYR,Germany,NI,Information Technology,Software,Software,yes,28/03/2018,Sole Global Coordinator & Joint Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers Aktiengesellschaft  <br><br>  Joint Bookrunner:<br>  MAINFIRST BANK AG   (Lead Manager: Hauck & Aufhäuser Privatbankiers Aktiengesellschaft),Bookbuilding Procedure,20.00 - 23.00,23,23.2,"31,740,000.00","4,140,000.00","1,380,000","1,380,000",,"180,000","180,000","8,394,293","194,747,597.60","48,355,828.00"
